id,year,type
1145,1578,Balance of Power
1146,1579,Balance of Power
1147,1580,Balance of Power
1148,1581,Balance of Power
1149,1582,Balance of Power
1150,1583,Balance of Power
1151,1590,Balance of Power
1152,1591,Balance of Power
1153,1592,Balance of Power
1154,1593,Balance of Power
1155,1594,Balance of Power
1156,1595,Balance of Power
1157,1806,Balance of Power
1158,1806,Balance of Power
1159,1807,Balance of Power
1160,1807,Balance of Power
1161,1808,Balance of Power
1162,1808,Balance of Power
1163,1809,Balance of Power
1164,1809,Balance of Power
1165,1810,Balance of Power
1166,1810,Balance of Power
1167,1811,Balance of Power
1168,1811,Balance of Power
1169,1812,Balance of Power
1170,1812,Balance of Power
1171,1768,Balance of Power
1172,1769,Balance of Power
1173,1770,Balance of Power
1174,1771,Balance of Power
1175,1772,Balance of Power
1176,1773,Balance of Power
1177,1774,Balance of Power
1178,1546,Balance of Power
1179,1546,Balance of Power
1180,1546,Balance of Power
1181,1546,Balance of Power
1182,1546,Balance of Power
1183,1546,Balance of Power
1184,1546,Balance of Power
1185,1546,Balance of Power
1186,1547,Balance of Power
1187,1547,Balance of Power
1188,1547,Balance of Power
1189,1547,Balance of Power
1190,1547,Balance of Power
1191,1547,Balance of Power
1192,1547,Balance of Power
1193,1547,Balance of Power
1194,1522,Balance of Power
1195,1523,Balance of Power
1196,1542,Balance of Power
1197,1543,Balance of Power
1198,1544,Balance of Power
1199,1545,Balance of Power
1200,1546,Balance of Power
1201,1510,Balance of Power
1202,1511,Balance of Power
1203,1512,Balance of Power
1204,1513,Balance of Power
1205,1665,Balance of Power
1206,1665,Balance of Power
1207,1665,Balance of Power
1208,1665,Balance of Power
1209,1666,Balance of Power
1210,1666,Balance of Power
1211,1666,Balance of Power
1212,1666,Balance of Power
1213,1666,Balance of Power
1214,1666,Balance of Power
1215,1666,Balance of Power
1216,1667,Balance of Power
1217,1667,Balance of Power
1218,1667,Balance of Power
1219,1667,Balance of Power
1220,1667,Balance of Power
1221,1667,Balance of Power
1222,1667,Balance of Power
1223,1700,Balance of Power
1224,1700,Balance of Power
1225,1700,Balance of Power
1226,1700,Balance of Power
1227,1700,Balance of Power
1228,1700,Balance of Power
1229,1700,Balance of Power
1230,1700,Balance of Power
1231,1700,Balance of Power
1232,1700,Balance of Power
1233,1700,Balance of Power
1234,1700,Balance of Power
1235,1701,Balance of Power
1236,1701,Balance of Power
1237,1701,Balance of Power
1238,1702,Balance of Power
1239,1702,Balance of Power
1240,1702,Balance of Power
1241,1703,Balance of Power
1242,1703,Balance of Power
1243,1703,Balance of Power
1244,1704,Balance of Power
1245,1704,Balance of Power
1246,1704,Balance of Power
1247,1705,Balance of Power
1248,1705,Balance of Power
1249,1705,Balance of Power
1250,1706,Balance of Power
1251,1706,Balance of Power
1252,1706,Balance of Power
1253,1707,Balance of Power
1254,1708,Balance of Power
1255,1709,Balance of Power
1256,1709,Balance of Power
1257,1709,Balance of Power
1258,1709,Balance of Power
1259,1709,Balance of Power
1260,1710,Balance of Power
1261,1710,Balance of Power
1262,1710,Balance of Power
1263,1710,Balance of Power
1264,1710,Balance of Power
1265,1711,Balance of Power
1266,1711,Balance of Power
1267,1711,Balance of Power
1268,1711,Balance of Power
1269,1711,Balance of Power
1270,1712,Balance of Power
1271,1712,Balance of Power
1272,1712,Balance of Power
1273,1712,Balance of Power
1274,1712,Balance of Power
1275,1713,Balance of Power
1276,1713,Balance of Power
1277,1713,Balance of Power
1278,1713,Balance of Power
1279,1713,Balance of Power
1280,1714,Balance of Power
1281,1714,Balance of Power
1282,1714,Balance of Power
1283,1714,Balance of Power
1284,1714,Balance of Power
1285,1715,Balance of Power
1286,1715,Balance of Power
1287,1715,Balance of Power
1288,1715,Balance of Power
1289,1715,Balance of Power
1290,1715,Balance of Power
1291,1715,Balance of Power
1292,1715,Balance of Power
1293,1716,Balance of Power
1294,1716,Balance of Power
1295,1716,Balance of Power
1296,1716,Balance of Power
1297,1716,Balance of Power
1298,1716,Balance of Power
1299,1716,Balance of Power
1300,1716,Balance of Power
1301,1717,Balance of Power
1302,1717,Balance of Power
1303,1717,Balance of Power
1304,1717,Balance of Power
1305,1717,Balance of Power
1306,1717,Balance of Power
1307,1717,Balance of Power
1308,1717,Balance of Power
1309,1718,Balance of Power
1310,1718,Balance of Power
1311,1718,Balance of Power
1312,1718,Balance of Power
1313,1718,Balance of Power
1314,1718,Balance of Power
1315,1718,Balance of Power
1316,1718,Balance of Power
1317,1719,Balance of Power
1318,1719,Balance of Power
1319,1719,Balance of Power
1320,1719,Balance of Power
1321,1719,Balance of Power
1322,1719,Balance of Power
1323,1719,Balance of Power
1324,1719,Balance of Power
1325,1720,Balance of Power
1326,1720,Balance of Power
1327,1720,Balance of Power
1328,1720,Balance of Power
1329,1720,Balance of Power
1330,1720,Balance of Power
1331,1720,Balance of Power
1332,1720,Balance of Power
1333,1721,Balance of Power
1334,1721,Balance of Power
1335,1721,Balance of Power
1336,1526,Balance of Power
1337,1526,Balance of Power
1338,1527,Balance of Power
1339,1527,Balance of Power
1340,1528,Balance of Power
1341,1528,Balance of Power
1342,1529,Balance of Power
1343,1529,Balance of Power
1344,1544,Balance of Power
1345,1545,Balance of Power
1346,1546,Balance of Power
1347,1885,Balance of Power
1348,1886,Balance of Power
1349,1755,Balance of Power
1350,1755,Balance of Power
1351,1756,Balance of Power
1352,1756,Balance of Power
1353,1756,Balance of Power
1354,1756,Balance of Power
1355,1756,Balance of Power
1356,1756,Balance of Power
1357,1756,Balance of Power
1358,1756,Balance of Power
1359,1756,Balance of Power
1360,1756,Balance of Power
1361,1756,Balance of Power
1362,1756,Balance of Power
1363,1756,Balance of Power
1364,1756,Balance of Power
1365,1756,Balance of Power
1366,1756,Balance of Power
1367,1757,Balance of Power
1368,1757,Balance of Power
1369,1757,Balance of Power
1370,1757,Balance of Power
1371,1757,Balance of Power
1372,1757,Balance of Power
1373,1757,Balance of Power
1374,1757,Balance of Power
1375,1757,Balance of Power
1376,1757,Balance of Power
1377,1757,Balance of Power
1378,1757,Balance of Power
1379,1757,Balance of Power
1380,1757,Balance of Power
1381,1757,Balance of Power
1382,1757,Balance of Power
1383,1757,Balance of Power
1384,1757,Balance of Power
1385,1758,Balance of Power
1386,1758,Balance of Power
1387,1758,Balance of Power
1388,1758,Balance of Power
1389,1758,Balance of Power
1390,1758,Balance of Power
1391,1758,Balance of Power
1392,1758,Balance of Power
1393,1758,Balance of Power
1394,1758,Balance of Power
