id,name,year_birth,year_death,dinasty
22223,James  Joyce,,1850.0,Joyce
22224,Sarah  Brakspear,,,Brakspear
22225,Charles  Calvert,,1832.0,Calvert
22226,Jane  Rowley,,,Rowley
22227,William  Peters,,,Peters
22228,Derek Henry Parker-Bowles,1915.0,,Parker-Bowles
22229,Ann  de Trafford,,,Trafford
22230,Humphrey Edmund de Trafford,,,Trafford
22231,Eustace  Parker-Bowles,1884.0,,Parker-Bowles
22232,Wilma Mary Garnault Bowles,,1928.0,Bowles
22233,Henry Ferryman Bowles,,,Bowles
22234,Algernon Robert Parker,1849.0,1940.0,Parker
22235,Emma Jane Kenyon,,1933.0,Kenyon
22236,Edward  Kenyon,,,Kenyon
22237,Thomas Augustus Wolstenholme Parker,1811.0,1896.0,Parker
22238,Henrietta  Turnor,,1839.0,Turnor
22239,Edmond  Turnor,,,Turnor
22240,Mary Frances Grosvenor,,1912.0,Grosvenor
22241,daughterofScotland,,,Scotland
22242,daughterofScotland,,,Scotland
22243,OlafofDublin,,,Dublin
22244,Kenneth,,,
22245,Cellach,,,
22246,daughterofScotland,,,Scotland
22247,Eochaid,,,
22248,Olaf,,,
22249,Malcolm,,,
22250,Malcolm,,,
22251,Dungal,,,
22252,Giric,,1005.0,
22253,Gillacomgain,,,
22254,Son,,,
22255,Son,,1033.0,
22256,Sigrid,,,
22257,daughter,,,
22258,ModdanofCaithness,,1040.0,Caithness
22259,MaldredofAllerdale,,,Allerdale
22260,Robert,,,
22261,Uhtred,,,
22262,Ulkil,,,
22263,Octreda,,,
22264,Gunhilda,,,
22265,Matilda,,,
22266,Dolfin,,,
22267,Aylward,,,
22268,Orm,,,
22269,Ketil,,,
22270,Waldeve,,,
22271,Gillemin,,,
22272,MalcolmofAtholl,,1189.0,Atholl
22273,HextildaofTynedale,,,Tynedale
22274,Margaret  Hacosdottir,,,Hacosdottir
