id,name,year_birth,year_death,family,title
5913,George Augustus FrederickFitzClarence,1794.0,1842.0,FrederickFitzClarence,Earl of Munster 1st
5914,Henry Fitzclarence,1795.0,1817.0,Fitzclarence,
5915,Sophia Fitzclarence,1796.0,1837.0,Fitzclarence,
5916,Mary Fitzclarence,1798.0,1859.0,Fitzclarence,Lady
5917,Frederick Fitzclarence,1799.0,1854.0,Fitzclarence,
5918,Elizabeth Fitzclarence,1801.0,1856.0,Fitzclarence,
5919,Adolphus Fitzclarence,1802.0,1856.0,Fitzclarence,
5920,Augusta Fitzclarence,1803.0,1865.0,Fitzclarence,
5921,Amelia Fitzclarence,1803.0,1858.0,Fitzclarence,
5922,Philip Charles Sidney,1800.0,1851.0,Sidney,Baron d'Lisle 1st
5923,Charles Richard Fox,1796.0,1873.0,Fox,General
5924,George Ross-Lindsay-Crawfurd-Boyle,1765.0,1843.0,Ross-Lindsay-Crawfurd-Boyle,Earl of Glasgow 4th
5925,Augusta Boyle,,1876.0,Boyle,
5926,William George Hay,1801.0,1846.0,Hay,Earl of Erroll 18th
5927,John Kennedy-Erskine,1802.0,1831.0,Kennedy-Erskine,
5928,John Gordon Hallyburton,,1878.0,Hallyburton,Lord Gordon
5929,Henry Gordon,1802.0,1865.0,Gordon,Lord
5930,Sarah Elizabeth KatherineGordon,,1901.0,KatherineGordon,
5931,Augustus Fitzclarence,1805.0,1854.0,Fitzclarence,Rector of Mapledurham
5932,Lucius Bentinck Cary,1803.0,1884.0,Cary,Viscount Falkland 10th
5933,Frederica Hanover,1817.0,1817.0,Hanover,
5934,Daughter Hanover,1818.0,1818.0,Hanover,
5935,Thomas Garth,,1829.0,Garth,General
5936,Charles Fitzroy,1762.0,1831.0,Fitzroy,Hon
5937,son Wettin,1879.0,1879.0,Wettin,
5938,Pedro de Alc\xA0ntrade Orleans-Braganza,,,Orleans-Braganza,Prince of Grao Para
5939,Son de Bourbon,1910.0,1910.0,Bourbon,
5940,Asger Preben WissingHenriksen,,,WissingHenriksen,
5941,Catherine Fitzcharles,1658.0,1759.0,Fitzcharles,Nun at Dunkirk
5942,Robert Killigrew,,,Killigrew,Sir
5943,Elizabeth Killigrew,,,Killigrew,Viscountess Shannon
5944,Francis Boyle,,,Boyle,Viscount Shannon 1st
5945,Charlotte Jemima HenriettaFitzcharles,1650.0,1684.0,HenriettaFitzcharles,
5946,James Howard,,1669.0,Howard,Earl of Suffolk
5947,William Paston,1653.0,1732.0,Paston,Earl of Yarmouth 2nd
5948,Edward Henry Lee,1663.0,1716.0,Lee,Earl of Lichfield 1st
5949,Thomas Pegge,,,Pegge,
5950,Edward Green,,1676.0,Green,Baronet
5951,William Villiers,,1643.0,Villiers,Viscount Grandison 2nd
5952,Roger Palmer,,,Palmer,Earl of Castlemaine
5953,Anne Fitzroy,1661.0,1722.0,Fitzroy,
5954,Henry (Thomas) Lennard,1654.0,1715.0,Lennard,Earl of Sussex
5955,Thomas Gwynne,,,Gwynne,
5956,Barbara (Benedicta) Fitzroy,1672.0,1737.0,Fitzroy,Nun at Pontoise
5957,Edward Radclyffe,1655.0,1705.0,Radclyffe,Earl of Derwentwater 2nd
5958,Anskill,,,Anskill,Knight Abingdon Abbey
5959,Ansfride,,,Ansfride,
5960,William,,,William,
5961,Thurstan le Despenser,,,Despenser,
5962,Hugh le Despenser,,,Despenser,
5963,Simon le Despenser,,,Despenser,
5964,Daughter le Despenser,,,Despenser,
5965,Forn of GreystokeSigulfson,,,GreystokeSigulfson,Lord of Greystoke
5966,Edith Sigulfson,,1173.0,Sigulfson,
5967,Robert de Oilli,,,Oilli,Constable Oxford Castle
5968,Henry de Oilli,,,Oilli,
5969,Edith,,1130.0,Edith,
5970,Isabel (Elizabeth) de Beaumont,1104.0,1172.0,Beaumont,
5971,Gilbert Strongbow FitzGilbertde Clare,1100.0,1147.0,Clare,Earl of Pembroke 1st
5972,Roger de Montgomery,,1094.0,Montgomery,Earl of Shrewsbury 1
5973,Sibyl de Montgomery,,,Montgomery,
5974,Richardof,1101.0,1120.0,of,
5975,Fulk,1100.0,,Fulk,Monk at Abingdon
5976,Juliane,1090.0,1136.0,Juliane,Nun at Fontevrault
5977,Maud,1090.0,1120.0,Maud,
5978,Robert FitzEdith,,1172.0,FitzEdith,Baron of Okenhampton
5979,Henry fitzHenry,1103.0,1157.0,fitzHenry,
5980,Isabel,1120.0,,Isabel,
5981,Rainald de Dunstanville,1112.0,1175.0,Dunstanville,Earl of Cornwall
5982,Gilbert,1130.0,1142.0,Gilbert,
5983,William de Tracy,,1135.0,Tracy,
5984,William,1105.0,1187.0,William,Constable
5985,Eustacie,,,Eustacie,
5986,Alice(Aline),,,(Aline),
5987,Gundred,,1130.0,Gundred,
5988,Rohese,,1176.0,Rohese,
5989,Daughter,,,Daughter,
5990,Maudof,,,of,Abbess of Montivilliers
5991,Robert Corbet,,,Corbet,Sir
5992,Herbert Fitzherbert,,1165.0,Fitzherbert,
5993,Robert Fitzherbert,,,Fitzherbert,
5994,Herbert Fitzherbert,,,Fitzherbert,
5995,Henry Fitzherbert,,,Fitzherbert,
5996,Herbertthe,,,the,
5997,Ralph de Gael,,,Gael,Lord of Montfort
5998,Amice de Gael,,,Gael,
5999,Robert of Leicesterde Beaumont,,1168.0,Beaumont,Earl of Leicester 2nd
6000,William Fitzrichard,,,Fitzrichard,
6001,Beatrice Fitzrichard,,,Fitzrichard,
6002,Nicholas de Dunstanville,,1175.0,Dunstanville,
6003,Three Daughters,,,Daughters,
6004,Henry Fitzcount,,,Fitzcount,
6005,William de Beaumont,,,Beaumont,
6006,Ralph (Rudolf) de Beaumont,,,Beaumont,Vicomte of Maine
6007,Son de Beaumont,,,Beaumont,
6008,Ralph I (Rudolf)de Beaumont,,,Beaumont,Vicomte of Maine
6009,Ralph II (Roscelin)de Beaumont,,,Beaumont,Vicomte of Maine
6010,Ralph III de Beaumont,,,Beaumont,Vicomte of Maine
6012,Stephen de Montrevault,,,Montrevault,
6013,Emma de Montrevault,,1058.0,Montrevault,
6014,Hubert de Beaumont,,,Beaumont,Vicomte of Maine
6015,_____ de Montrevault,,,Montrevault,
6016,Hubert de Montrevault,,,Montrevault,Bishop of Angers
6017,Cane,,,Cane,
6018,Savari Fitzcane,,,Fitzcane,
6019,Williamof,,,of,Count of Nevers
6020,Ermengard,,,Ermengard,
6021,Ralph IV de Beaumont,,1110.0,Beaumont,Vicomte of Maine
6022,_____ de Laval,,,Laval,
6023,Guy de Laval,,1172.0,Laval,Sire de Laval
6024,Sister de Laval,,,Laval,
6025,Hoel,,,Hoel,
6027,Eudonof,,1156.0,of,Vicomte of Porho\x89t
6028,Grace de Tracy,,,Tracy,
6029,John de Sudeley,,,Sudeley,
6030,Ralph de Sudeley,,1192.0,Sudeley,
6031,William of Toddingtonde Tracy,,,Tracy,
6032,Harold de Ewiasde Sudeley,,,Sudeley,Lord of Ewias 1st
6033,Robert de Ewyas,,,Ewyas,Baron of Ewyas Harold
6035,Alice,,,Alice,
6036,William III Gouet,1080.0,,Gouet,Lord of Montmirial
6037,William IV Gouet,,1169.0,Gouet,
6038,Daughter,,,Daughter,
6039,Isabel(Elizabeth),,,(Elizabeth),
6040,Two Daughters,,,Daughters,
6041,Hervey de Gien,,,Gien,
6042,William II Gouet,,,Gouet,Lord of Montmirial
6043,Eustache,,,Eustache,
6044,Hugh Gouet,,,Gouet,
6045,Robert Gouet,,,Gouet,
6046,Matthew Gouet,,,Gouet,
6047,Maud Gouet,,,Gouet,
6048,Matthew I de Montmorenci,,1160.0,Montmorenci,Constable of France
6049,Five Sons,,,Sons,
6050,OttoWilliamof,,1026.0,of,Count of Burgundy
6051,Giseleof,,1133.0,of,
6052,Humbert II the Fat of Savoyde Maurienne,,1103.0,Maurienne,Count of Savoy
6053,Henry de la Pomerai,,1167.0,Pomerai,
6054,Henry de la Pomerai,,,Pomerai,
6055,Joscelin de la Pomerai,,,Pomerai,
6056,Ralph de la Pomerai,,,Pomerai,
6057,Joscelin de la Pomerai,,,Pomerai,
6058,Meiler FitzHenry,,1220.0,FitzHenry,
6059,Robert FitzHenry,,1180.0,FitzHenry,
6060,Gilbert de Lacy,,1163.0,Lacy,
6061,Robert de Lacy,,1162.0,Lacy,
6062,Hugh de Lacy,,1186.0,Lacy,Lord of Meath
6063,Daughter de Lacy,,,Lacy,
6064,Meiler FitzHenry,,,FitzHenry,
6065,William FitzOsbern de Br\x82teuil,,1071.0,Br\x82teuil,Earl of Hereford 1st
6066,William de Br\x82teuil,,,Br\x82teuil,
6067,Eustace de Pacy,,1136.0,Pacy,Lord of Br\x82teuil & Pacy
6068,William de Pacy,,1153.0,Pacy,
6069,Roger de Pacy,,,Pacy,
6070,Two Daughters,,,Daughters,
6071,Robert d'Avranches,,,d'Avranches,
6072,Maud d'Avranches,,1173.0,d'Avranches,
6073,William de Courcy,,1162.0,Courcy,
6074,Maud du Sap,,1224.0,Sap,
6075,Rainald de Courtney,,,Courtney,
6076,Rotrou the Greatdu Perche,,1144.0,Perche,Count of Perche
6077,Hilduin de Montdidier,,,Montdidier,Count of Montdidier&Roucy
6078,Beatrice de Montdidier,,,Montdidier,
6079,Geoffrey du Perche,,,Perche,Count of Perche
6080,Philippa,,,Philippa,
6081,Felicie,,,Felicie,
6082,Walter FitzEdward de Salisbury,,1147.0,Salisbury,Sheriff of Wiltshire
6083,Hawise de Salisbury,,1152.0,Salisbury,
6084,Rotrouof,,,of,Count of Perche
6085,Geoffrey,,,Geoffrey,
6086,Stephen,,,Stephen,Archbishop of Palermo
6087,Richard Strongbow FitzGilbertde Clare,1130.0,1176.0,Clare,Earl of Pembroke 2nd
6088,Basilea de Clare,,,Clare,
6089,Gilbert FitzRichard de Clare,1066.0,1117.0,Clare,Lord of Clare
6090,Baldwin FitzGilbert de Clare,,1154.0,Clare,Lord of Bourne
6091,Raymond FitzGerald,,,FitzGerald,
6092,Geoffrey FitzRobert,,1211.0,FitzRobert,Lord of Kells
6094,Eve de Bermingham,,1226.0,Bermingham,
6095,Geoffrey de Marsh,,1245.0,Marsh,Justiciar of Ireland
6098,Gilbert de Strigoil,1173.0,1185.0,Strigoil,Earl of Pembroke 3rd
6099,Hugh de Claremont,,,Claremont,Count of Clermont
6100,Alice de Claremont,,,Claremont,
